gene,log2FC,pval,mean_a,mean_b,padj,-log10p,significant
ABCB6,0.1290011874636594,0.43588844990641984,0.018867570107611736,0.14786875757127113,0.9457182643135121,0.3606246386867555,False
cOR6Z3,0.0898715523300404,0.46028610578655627,0.5345369850418666,0.624408537371907,0.9457182643135121,0.33697213453748803,False
cOR6Z2,-0.012378454200222311,0.1134351710846673,-0.007031010847424053,-0.019409465047646363,0.9457182643135121,0.9452522696074124,False
cOR6M5,-0.2076517691962513,0.1277949675275918,0.06526292060102404,-0.14238884859522727,0.9457182643135121,0.8934862480401368,False
cOR6C63,0.03297930391542928,0.4519890734993629,-0.06491579936815906,-0.03193649545272977,0.9457182643135121,0.34487206380872854,False
SCOC,-0.1814251635136384,0.1168282357440796,-0.06548675674594397,-0.24691192025958236,0.9457182643135121,0.9324521816596267,False
cOR5M13P,0.03173712038737875,0.43468492264345693,-0.058442845737588005,-0.026705725350209257,0.9457182643135121,0.361825423361747,False
cOR5D23,-0.16559411087335882,0.029983974366889637,0.13845911205022482,-0.027134998823134006,0.9457182643135121,1.5231108020677675,False
ABCA1,0.13351132040421906,0.43111666337933674,-0.1018402115304092,0.03167110887380986,0.9457182643135121,0.365405190614364,False
ABAT,0.05352844889439729,0.44818772102857163,-0.11123628281097557,-0.05770783391657828,0.9457182643135121,0.3485400459771821,False
AATF,-0.03325673562135244,0.29349903728445303,-0.06984424408759521,-0.10310097970894765,0.9457182643135121,0.5323933189572029,False
AASS,-0.2540999487884563,0.42243927763479994,-0.07097604261126658,-0.3250759913997229,0.9457182643135121,0.3742357086867973,False
AASDHPPT,-0.13988358792531272,0.2711627815315475,-0.19048631645432387,-0.3303699043796366,0.9457182643135121,0.5667699198370657,False
AARSD1,-0.04098436966695453,0.4941391278561106,-0.04462243722220292,-0.08560680688915745,0.9457182643135121,0.30615075562446015,False
AANAT,0.07488907670830974,0.4773289998354723,0.055011095420540314,0.12990017212885005,0.9457182643135121,0.32118217953291944,False
SCO1,-0.11933494106492631,0.13858305906375948,0.06510242405423627,-0.05423251701069003,0.9457182643135121,0.858289856338968,False
ABCC4,-0.11701386141178693,0.3095371548693919,0.16633480421689234,0.0493209428051054,0.9457182643135121,0.5092872135702822,False
ABCB4,-0.07090300986374237,0.42016866874629977,0.027233681609860776,-0.043669328253881604,0.9457182643135121,0.37657633531394397,False
ABCB11,-0.19514559298841155,0.12695860383590524,0.2443700267674263,0.04922443377901476,0.9457182643135121,0.8963378621644887,False
ABCB1,-0.14457537498836057,0.3911872034384063,-0.06894267172744048,-0.21351804671580105,0.9457182643135121,0.407615360344009,False
ABCA5,-0.07614305729852591,0.462704318957618,0.05297577880400019,-0.02316727849452573,0.9457182643135121,0.33469644670562054,False
ABCA4,0.06879222697540703,0.17616420159275492,-0.14729963226200954,-0.07850740528660251,0.9457182643135121,0.7540823401366955,False
AADAC,-0.04877512868835737,0.12697757311790606,0.018672822933680163,-0.030102305754677212,0.9457182643135121,0.8962729777150749,False
OR10A12,0.25280535402347215,0.02787240881619951,-0.3398614931479495,-0.08705613912447738,0.9457182643135121,1.554825496648124,False
OR10A02,0.21226580346897994,0.10282653830588526,-0.13158251730294881,0.08068328616603113,0.9457182643135121,0.9878947846365832,False
dla88,-0.05953458595110371,0.47640088709032025,-0.09494233315179008,-0.1544769191028938,0.9457182643135121,0.3220274385031301,False
A4GALT,0.09260525584298121,0.10432286695058676,-0.002238789024638373,0.09036646681834283,0.9457182643135121,0.9816204863771959,False
mif,-0.12070706793586058,0.479466214327371,-0.07549854762320976,-0.19620561555907035,0.9457182643135121,0.3192419900535749,False
A2M,0.23820816479972357,0.360995230870383,-0.49949491227767845,-0.2612867474779549,0.9457182643135121,0.4424985355468559,False
A2LD1,-0.11986081997038266,0.24295541669079868,-0.11970762772971959,-0.23956844770010224,0.9457182643135121,0.6144734138979495,False
A1CF,0.3029275710894348,0.1541980370648941,-0.3880622073060307,-0.08513463621659591,0.9457182643135121,0.8119211548019937,False
cOR9K6,0.11762781680012414,0.3984735188105503,-0.1370372818477705,-0.019409465047646363,0.9457182643135121,0.3996005350372295,False
ABHD15,0.04324937670908644,0.34229647411323394,-0.09537297214397755,-0.05212359543489111,0.9457182643135121,0.4655975743679741,False
ABHD12B,0.1697630989045702,0.15393023040381662,-0.30517238061469776,-0.13540928171012756,0.9457182643135121,0.8126760805695297,False
