Gene,log2FC_ADvsHealthy,pval_ADvsHealthy,padj_ADvsHealthy,Significant,log2FC_PostVsPre,padj_PostVsPre
BDNF,-0.121,0.3215,0.8435,False,-0.03,0.9773
CCL17,-0.843,0.1648,0.8041,False,0.443,0.9457
CCR4,0.06,0.3306,0.8441,False,-0.026,0.9704
CLDN1,0.068,0.2519,0.8192,False,-0.066,0.9457
CTLA4,0.038,0.7005,0.941,False,-0.118,0.9457
CXCL10,-0.132,0.3196,0.8431,False,-0.007,0.9953
DSG1,0.052,0.7236,0.9468,False,0.049,0.9618
FOXP3,0.072,0.3494,0.8481,False,-0.165,0.9457
GATA3,-0.133,0.078,0.7563,False,-0.106,0.9457
IFNG,-0.017,0.8578,0.9738,False,-0.118,0.9457
IL10,0.109,0.3173,0.8431,False,-0.115,0.9457
IL13,-0.143,0.1883,0.8064,False,-0.009,0.9851
IL13RA2,0.041,0.5146,0.8957,False,-0.006,0.994
IL2,0.175,0.0337,0.7028,False,-0.169,0.9457
IL25,-0.047,0.6278,0.9245,False,0.078,0.9457
IL3,-0.214,0.163,0.803,False,-0.054,0.9766
IL31RA,-0.066,0.6211,0.9228,False,-0.079,0.9587
IL33,-0.194,0.1018,0.7763,False,0.095,0.9457
IL4,-0.187,0.1696,0.806,False,0.197,0.9457
IL4R,0.084,0.1715,0.8063,False,-0.034,0.9513
IL5,0.138,0.1947,0.8092,False,0.131,0.9457
IL6ST,-0.02,0.8464,0.9725,False,-0.099,0.9457
IRF1,0.044,0.6512,0.931,False,0.083,0.9457
JAK1,-0.008,0.8967,0.9826,False,-0.117,0.9457
JAK2,-0.015,0.8811,0.9791,False,-0.007,0.994
KRT1,-0.087,0.4936,0.8901,False,-0.053,0.9457
KRT10,0.345,0.1248,0.7889,False,0.046,0.9587
MRGPRD,-0.028,0.8821,0.9793,False,-0.01,0.995
NGF,0.244,0.2037,0.8126,False,0.111,0.9457
NTRK1,0.021,0.8568,0.9734,False,-0.031,0.9756
OSM,0.068,0.5234,0.8957,False,-0.023,0.9722
OSMR,0.145,0.1617,0.8012,False,-0.018,0.9895
PDCD1,0.08,0.5379,0.8982,False,0.063,0.9513
S100A8,-0.017,0.8636,0.9752,False,0.053,0.9457
S100A9,-0.068,0.4518,0.8805,False,0.073,0.9457
STAT1,-0.078,0.4642,0.8867,False,-0.079,0.9457
STAT2,-0.192,0.0871,0.7628,False,0.015,0.9763
STAT3,-0.03,0.7261,0.9478,False,0.056,0.9457
STAT4,-0.077,0.3531,0.849,False,-0.133,0.9457
STAT5A,0.022,0.7783,0.9598,False,-0.032,0.9596
STAT5B,-0.069,0.5044,0.8931,False,0.119,0.9457
TBX21,0.176,0.3533,0.849,False,0.149,0.9457
TGFB1,-0.031,0.718,0.9451,False,0.043,0.9513
TNF,0.101,0.302,0.8375,False,0.017,0.9837
TRPA1,0.074,0.4731,0.89,False,-0.092,0.9457
TRPV1,0.089,0.2049,0.8126,False,0.006,0.995
TRPV4,-0.108,0.1959,0.8092,False,0.066,0.9457
